id,车型,车号,终端号,经度,纬度,海拔,时间,是否库内,车次,速度,插入时间
8142,207,662B,60652,112.1532470897,39.0660551256,1509.2526229518,2016/6/22 19:01:38,0,13,10,2016/6/22 19:02:18
8165,231,7101B,60104,112.1718945383,39.0682057789,1515.4120300543,2016/6/22 19:02:17,0,13,0,2016/6/22 19:02:18
8176,207,783A,60674,112.1532263519,39.065998945,1506.4181464557,2016/6/22 19:01:18,0,13,10,2016/6/22 19:02:18
8182,207,6212B,10536,111.2840513629,38.967985378,1087.5791412927,2016/6/22 19:02:16,0,13,0,2016/6/22 19:02:18
8288,225,77B,10228,112.0161495251,39.0517873517,1383.6445287326,2016/6/22 19:02:20,0,13,0,2016/6/22 19:02:18
8349,231,7088B,60154,111.827365601,39.0991592959,1261.1652480541,2016/6/22 19:02:29,0,13,0,2016/6/22 19:02:18
8436,231,7128B,60080,112.1662428515,39.0685953632,1514.2896961998,2016/6/22 19:02:40,0,13,0,2016/6/22 19:02:49
8497,225,9A,11452,112.1480817824,39.0653750527,1509.4168351553,2016/6/22 19:02:49,0,13,0,2016/6/22 19:02:49
8501,231,7011B,15138,110.5710645615,39.0723221606,1141.7053178372,2016/6/22 19:02:49,0,13,0,2016/6/22 19:02:49
8533,231,7126B,60126,112.1666210339,39.0686363986,1515.4038747596,2016/6/22 19:02:46,0,13,0,2016/6/22 19:02:49
8553,231,7103B,60112,112.1657480405,39.0676720003,1518.8855099175,2016/6/22 19:02:58,0,13,0,2016/6/22 19:02:49
8659,231,7102A,60098,111.5498302263,39.0773749348,1239.3916852335,2016/6/22 19:03:16,0,13,0,2016/6/22 19:03:19
8900,207,657B,11490,110.9350644329,39.0576461369,890.6583676981,2016/6/22 19:03:51,0,13,0,2016/6/22 19:03:49
8988,225,76B,13638,111.1845177077,38.9377123954,985.449293959,2016/6/22 19:04:06,0,13,0,2016/6/22 19:04:19
9013,225,75B,10224,111.1872838899,38.9376283155,985.3083875561,2016/6/22 19:03:46,0,13,0,2016/6/22 19:04:19
9020,225,10A,10912,112.145576295,39.0642559401,1505.3818024928,2016/6/22 19:04:09,0,13,0,2016/6/22 19:04:19
9090,207,759B,60638,111.9358957927,39.0510669476,1342.6007516086,2016/6/22 19:03:15,0,13,0,2016/6/22 19:04:19
9175,231,7022A,13952,112.182740207,39.0718779035,1529.5978326118,2016/6/22 19:04:36,0,13,24,2016/6/22 19:04:49
9248,225,78A,11418,112.0029866591,39.0506602786,1374.1209082408,2016/6/22 19:04:07,0,13,0,2016/6/22 19:04:49
9280,231,7013B,13948,110.5665852986,39.0693653425,1104.1865679463,2016/6/22 19:04:54,0,13,0,2016/6/22 19:04:49
9307,225,74A,10112,110.3132146068,39.1916881489,1024.2306801304,2016/6/22 19:04:57,0,13,0,2016/6/22 19:04:49
9308,225,73B,10052,110.3130423109,39.19197196,1028.6709911795,2016/6/22 19:04:52,0,13,0,2016/6/22 19:04:49
9373,207,654A,60460,112.0957936499,39.0636647743,1452.8406751836,2016/6/22 19:05:07,0,13,0,2016/6/22 19:05:19
9395,231,7099B,60046,112.1714685148,39.0681256843,1515.2616775427,2016/6/22 19:05:02,0,13,0,2016/6/22 19:05:19
9461,231,7026B,13960,111.7799719025,39.1183246148,1317.5328500867,2016/6/22 19:05:10,0,13,0,2016/6/22 19:05:19
9688,207,662B,60652,112.1483907523,39.064416792,1347.131513956,2016/6/22 19:05:52,0,13,2,2016/6/22 19:05:49
9746,104,7583,10154,111.2670747473,38.949578583,1061.0226981528,2016/6/22 19:05:07,0,13,0,2016/6/22 19:06:19
9753,207,1155B,10534,111.6666808888,39.1294293696,1286.2621117057,2016/6/22 19:06:07,0,13,0,2016/6/22 19:06:19
9853,207,1154B,10446,111.6644707999,39.1285170613,1266.5232714135,2016/6/22 19:06:24,0,13,0,2016/6/22 19:06:19
9873,231,7127A,60084,111.834814907,39.0959786468,1342.9280517148,2016/6/22 19:06:26,0,13,0,2016/6/22 19:06:19
9906,231,7101B,60104,112.1719070815,39.0682160865,1518.3019230692,2016/6/22 19:06:32,0,13,0,2016/6/22 19:06:19
9928,225,77B,10228,111.9794394909,39.04850435,1356.0005404027,2016/6/22 19:06:36,0,13,0,2016/6/22 19:06:49
9993,231,7088B,60154,111.8346513554,39.0961813554,1327.9128713133,2016/6/22 19:06:45,0,13,0,2016/6/22 19:06:49
10073,231,7014A,13934,110.5638005702,39.0681248767,1126.7924761055,2016/6/22 19:06:54,0,13,0,2016/6/22 19:06:49
10085,231,7128B,60080,112.1662372685,39.0685764434,1516.4335012166,2016/6/22 19:06:56,0,13,0,2016/6/22 19:06:49
10113,231,7126B,60126,112.1666031675,39.0686503926,1515.8537499458,2016/6/22 19:07:00,0,13,0,2016/6/22 19:06:49
10148,231,7011B,15138,110.563740947,39.0679236559,1125.2009347305,2016/6/22 19:07:05,0,13,0,2016/6/22 19:07:19
10160,207,783A,60674,112.1499466962,39.0646799136,1509.8341915794,2016/6/22 19:05:31,0,13,1,2016/6/22 19:07:19
10163,225,9A,11452,112.1433358053,39.0630629063,1505.8293926418,2016/6/22 19:07:05,0,13,0,2016/6/22 19:07:19
10215,231,7103B,60112,112.1657370174,39.0676532511,1518.6418755082,2016/6/22 19:07:14,0,13,0,2016/6/22 19:07:19
10540,207,6212B,10536,111.2534179475,38.9499774759,1047.7330345996,2016/6/22 19:06:33,0,13,0,2016/6/22 19:07:49
10594,225,75B,10224,111.1437617542,38.940763717,943.3382662619,2016/6/22 19:08:02,0,13,0,2016/6/22 19:08:19
10609,207,657B,11490,110.8985725637,39.0734569719,934.6759781521,2016/6/22 19:08:07,0,13,0,2016/6/22 19:08:19
10666,225,76B,13638,111.1403197976,38.9416729893,942.9187762691,2016/6/22 19:08:19,0,13,0,2016/6/22 19:08:19
10709,225,78A,11418,111.9718544871,39.0479507626,1356.1575077958,2016/6/22 19:08:21,0,13,0,2016/6/22 19:08:19
10730,225,10A,10912,112.1395040705,39.0610315386,1500.5389661035,2016/6/22 19:08:26,0,13,0,2016/6/22 19:08:20
10916,231,7022A,13952,112.167014231,39.0677460006,1537.9261099855,2016/6/22 19:08:52,0,13,0,2016/6/22 19:08:50
11010,225,73B,10052,110.3103629436,39.194684206,1027.4296932127,2016/6/22 19:09:06,0,13,0,2016/6/22 19:09:20
11022,231,7013B,13948,110.5556155454,39.0619999286,1211.8572332515,2016/6/22 19:09:10,0,13,0,2016/6/22 19:09:20
11037,225,74A,10112,110.3105498777,39.1944009533,1030.6025714334,2016/6/22 19:09:11,0,13,0,2016/6/22 19:09:20
